lh_gm_vol_0,lh_gm_vol_1,lh_gm_vol_2,lh_gm_vol_3,lh_gm_vol_4,lh_gm_vol_5,lh_gm_vol_6,lh_gm_vol_7,lh_gm_vol_8,lh_gm_vol_9,lh_gm_vol_10,lh_gm_vol_11,lh_gm_vol_12,lh_gm_vol_13,lh_gm_vol_14,lh_gm_vol_15,lh_gm_vol_16,lh_gm_vol_17,lh_gm_vol_18,lh_gm_vol_19,lh_gm_vol_20,lh_gm_vol_21,lh_gm_vol_22,lh_gm_vol_23,lh_gm_vol_24,lh_gm_vol_25,lh_gm_vol_26,lh_gm_vol_27,lh_gm_vol_28,lh_gm_vol_29,lh_gm_vol_30,lh_gm_vol_31,lh_gm_vol_32,lh_gm_vol_33,rh_gm_vol_0,rh_gm_vol_1,rh_gm_vol_2,rh_gm_vol_3,rh_gm_vol_4,rh_gm_vol_5,rh_gm_vol_6,rh_gm_vol_7,rh_gm_vol_8,rh_gm_vol_9,rh_gm_vol_10,rh_gm_vol_11,rh_gm_vol_12,rh_gm_vol_13,rh_gm_vol_14,rh_gm_vol_15,rh_gm_vol_16,rh_gm_vol_17,rh_gm_vol_18,rh_gm_vol_19,rh_gm_vol_20,rh_gm_vol_21,rh_gm_vol_22,rh_gm_vol_23,rh_gm_vol_24,rh_gm_vol_25,rh_gm_vol_26,rh_gm_vol_27,rh_gm_vol_28,rh_gm_vol_29,rh_gm_vol_30,rh_gm_vol_31,rh_gm_vol_32,rh_gm_vol_33,volume_paths
2886,1720,6066,2828,2369,10816,11721,11275,2250,11118,8160,7201,5447,11515,2169,3338,5372,2256,3695,2506,11958,3350,13664,10635,2812,12810,19978,11873,12145,12986,626,2260,1222,6925,2384,2104,5095,3299,2900,10333,16617,9543,2479,12666,7395,7133,5838,12501,2137,3781,4414,2294,4369,2975,9606,3109,12523,10893,2011,13270,18997,13959,11290,11380,982,2678,984,7644,/data/users2/kwang26/aibm_hcp_normalized/113821_3T_T1w_MPR1.nii.gz
3625,2406,7442,3808,2690,13559,15836,15512,2886,13554,8509,7431,5688,13107,2572,4097,6463,2760,4480,2992,10965,4096,14283,12364,3009,14800,25749,14189,13295,13029,982,2214,1224,7863,3640,2317,6708,5067,2987,11906,17478,14348,2673,13144,8027,7914,6197,13476,2188,4536,5367,3050,5694,4077,10147,3770,15514,11514,2789,15837,26218,16229,15134,13534,1000,1979,875,8280,/data/users2/kwang26/aibm_hcp_normalized/187850_3T_T1w_MPR1.nii.gz
2684,2690,8757,3327,1570,12284,14943,10974,3161,12828,8742,7724,7119,11681,2503,3861,6411,2611,4666,3212,9776,3623,15817,10045,3285,17537,23611,11949,13426,9907,876,2367,1252,8100,2687,1634,7773,3858,1390,10388,18062,11290,3140,12770,9264,8834,7142,11650,2314,4942,4457,3210,5445,3652,10986,3181,16979,10883,1652,19585,23480,11449,12976,9904,823,2195,1245,7758,/data/users2/kwang26/aibm_hcp_normalized/178243_3T_T1w_MPR1.nii.gz
3594,2132,6024,3447,1752,12265,12670,10209,2413,11157,8056,8143,6584,11423,2281,4122,6014,1920,3919,3374,11435,3716,14640,10514,2435,16290,23770,12323,14367,12050,592,1894,1093,7102,2528,2093,5680,3164,1236,10866,16401,11622,2584,9952,7239,7078,5302,13138,2498,4487,4410,2176,4967,3222,11601,3354,15894,11404,3070,17816,24095,12299,14417,10942,1092,1970,908,8063,/data/users2/kwang26/aibm_hcp_normalized/183034_3T_T1w_MPR1.nii.gz
2659,1694,8137,3675,2636,12622,16745,11978,3635,13641,7424,8428,5619,12534,2483,3948,5003,2024,3941,2637,11439,3206,16548,13007,2512,15378,22821,15184,12721,11231,742,2421,1245,7598,2799,2212,6002,3850,1795,13018,17895,10835,2389,15217,7565,8553,5761,12683,2437,3955,3812,2725,4069,3036,11730,3240,16193,13642,2646,16034,23970,16108,11995,12717,938,2387,904,8022,/data/users2/kwang26/aibm_hcp_normalized/108828_3T_T1w_MPR1.nii.gz
2800,2628,7307,4228,1610,11133,15386,11362,3145,16610,9066,9173,6236,11600,2567,3117,4561,2188,3963,2638,9421,3512,13963,12508,3275,15402,20036,13984,12578,11088,654,1908,1878,7912,2380,2294,5796,4315,1347,13551,16568,10654,2395,16846,8844,7792,6149,12847,2051,3611,4714,2882,4916,2977,9600,3542,13709,12963,2234,15525,23448,12427,12889,10311,1028,2164,1354,8030,/data/users2/kwang26/aibm_hcp_normalized/433839_3T_T1w_MPR1.nii.gz
2154,1080,7128,3098,1494,10170,10631,10627,2293,9804,7296,6428,4082,8150,2526,2789,3705,1807,3840,2124,8515,2585,11337,9576,2641,15780,17120,13227,9483,10025,505,2675,1180,6963,2120,2164,6736,2819,1336,10194,13150,10101,1728,11305,7338,6632,4836,10712,2222,3122,3967,2590,4598,2277,8312,3200,10648,10174,1764,14267,17436,11362,10224,10014,779,2286,882,6882,/data/users2/kwang26/aibm_hcp_normalized/459453_3T_T1w_MPR1.nii.gz
2743,1978,5986,3744,1721,9244,14036,12479,2623,12431,8383,8048,5501,12085,2103,3698,5789,2164,3729,2909,11669,3256,16271,9760,3149,18675,24075,12842,11965,11261,805,2682,1607,6763,2617,2278,6584,3949,1515,10687,15891,10970,2740,13385,7940,8142,5859,14283,1941,3990,4566,2891,4361,3218,9118,3578,15533,10926,2206,19996,24807,11681,13389,12879,1089,2659,1150,6296,/data/users2/kwang26/aibm_hcp_normalized/547046_3T_T1w_MPR1.nii.gz
3376,2537,9041,3580,2445,13306,15934,13594,3324,11491,9362,9071,7590,13141,3017,5249,6297,2374,4282,2944,13408,3754,19178,12284,3778,20531,26454,14775,15326,12087,1220,2681,1611,8895,2907,2511,7779,3589,2497,12619,20858,13404,2819,14371,9530,8135,7125,14277,2477,5319,4683,3247,5505,3096,11824,3843,18073,13304,2593,22547,30366,15466,15551,11392,1273,2251,1114,9499,/data/users2/kwang26/aibm_hcp_normalized/172029_3T_T1w_MPR1.nii.gz
2536,2569,5669,3484,1831,11603,12177,13008,2492,11302,7364,6091,5135,8905,2173,3577,4919,2134,3233,2638,10234,3183,12795,10447,3120,16830,21316,12969,11789,11248,651,2570,1210,6552,2932,3659,5210,3454,1571,11507,14702,10041,2020,10942,7222,5978,5273,12146,1948,3957,4042,3032,3661,2880,9325,3705,13494,10794,2648,16349,20867,12277,13169,10993,959,2414,983,7126,/data/users2/kwang26/aibm_hcp_normalized/111716_3T_T1w_MPR1.nii.gz
2911,2264,7711,4044,1521,11128,13334,11215,2116,13541,8127,7707,5283,10312,2134,3822,5855,2663,4171,3635,9338,3352,14465,9277,3187,17289,23579,13492,14317,12897,801,2054,2148,6548,2341,2750,6208,3340,1349,11908,15143,11202,2196,13313,8160,7307,5510,13542,1911,4613,4675,2947,5079,3533,11888,3216,14598,10257,2330,17678,26407,12946,13124,13061,928,2140,1148,7042,/data/users2/kwang26/aibm_hcp_normalized/709551_3T_T1w_MPR1.nii.gz
2752,1841,6563,2875,1518,9011,12251,11276,2161,10161,6662,7492,4554,11400,2190,3812,4202,2035,3282,3243,10260,3440,13619,8372,2736,14365,21013,11089,10475,9190,870,2469,895,6114,2602,2139,6728,2949,1351,8694,15312,10247,1937,11890,7247,6758,4430,13050,1982,4461,4292,2777,4035,3431,10001,3217,13825,9313,2299,15108,20325,12280,11006,8030,810,2576,664,5983,/data/users2/kwang26/aibm_hcp_normalized/151627_3T_T1w_MPR1.nii.gz
2398,3388,7199,3553,2663,11773,14043,14448,3126,15353,8580,8659,6451,11308,2089,4192,5797,2717,5638,3244,10346,4193,16171,12293,4365,19654,27173,15826,12163,12061,852,2685,1178,7953,2483,2340,7057,4323,1425,11987,17715,12338,3244,14422,8353,7500,6654,11943,2244,4018,4505,3408,4136,3074,10492,3436,15489,13373,2324,19829,26031,15141,12917,10950,1171,2138,1092,8466,/data/users2/kwang26/aibm_hcp_normalized/191336_3T_T1w_MPR1.nii.gz
2648,2173,5069,2511,1584,11527,17316,10057,3490,10352,7907,5838,6448,10959,2540,3453,4860,2245,3412,2333,10107,3290,12539,9529,2421,15529,23782,11158,11062,10647,775,2244,1353,6716,3210,2104,4872,2698,1156,9433,17009,9031,1984,9642,7935,6686,5285,12082,1818,3968,4345,2719,3882,2483,9877,3030,12028,10713,1491,17668,22465,13032,13067,11774,964,1741,1127,7130,/data/users2/kwang26/aibm_hcp_normalized/138231_3T_T1w_MPR1.nii.gz
3556,1709,6768,2902,1777,11054,13212,8175,2853,10662,7580,6881,5058,11635,1916,2909,5332,2425,4135,2330,10012,3539,13099,10752,2483,15636,22678,12707,11842,11337,794,2278,1217,7199,2668,2491,4947,2957,1228,9059,16954,10470,2394,10689,7774,7135,5106,12937,1782,3626,5029,2721,4928,2562,10218,3380,14463,11056,1643,15966,22582,13383,11815,10420,915,2152,1032,7172,/data/users2/kwang26/aibm_hcp_normalized/208226_3T_T1w_MPR1.nii.gz
2405,1932,7682,3858,2308,10815,12514,14855,3238,13444,9021,8503,5671,11486,2046,4314,5471,2211,4377,3359,10697,3247,16323,12013,3599,19778,28201,13520,14474,10076,925,2447,1401,8433,2934,3167,8244,3901,1697,10670,16062,11665,2607,14578,9186,8006,6328,13535,2539,3701,4796,3085,4766,3464,10056,4277,16657,12901,3071,21921,23568,13421,14564,10669,1041,1794,1181,8351,/data/users2/kwang26/aibm_hcp_normalized/856968_3T_T1w_MPR1.nii.gz
2736,2022,8662,3881,1707,11647,14516,15165,2876,12318,8074,9015,6348,13529,2546,4237,6241,2476,3317,3340,12021,3922,15742,12869,3540,20515,27174,15742,13546,13027,954,2159,1554,7214,3785,3304,8523,4075,1646,11748,17937,11923,2836,13466,7495,8069,6796,15704,2434,5039,5961,2304,4849,3622,13766,4204,17041,12559,3087,20487,24117,13703,13655,11535,1470,2307,1145,7410,/data/users2/kwang26/aibm_hcp_normalized/111009_3T_T1w_MPR1.nii.gz
3037,3277,8263,3436,1754,11836,11626,11762,3263,13402,8243,6651,6432,11409,2606,3756,5631,1968,3429,2964,10851,3924,15128,11012,3295,16200,24279,14511,15061,13650,813,2999,1581,7410,3182,2439,7037,3689,1562,11714,14157,12214,2698,11194,8646,6865,6458,13560,2063,4628,4968,2552,4737,3657,10564,3321,15351,12414,2010,16766,26712,14659,13530,13974,898,3040,1458,7838,/data/users2/kwang26/aibm_hcp_normalized/151425_3T_T1w_MPR1.nii.gz
3155,2816,6830,3510,1817,12335,15905,12188,2468,12927,8228,7262,5335,11487,2107,3374,4602,2039,2895,2938,9347,2943,14374,10681,2826,15472,20589,13136,14127,11056,856,2467,1821,6830,2389,2710,5667,1844,1728,10426,17125,12340,2792,12156,8302,8380,5494,12272,2181,4752,4762,2572,3806,2074,12243,4269,13979,11166,2287,17468,21127,10469,12772,10561,1118,2164,1156,7054,/data/users2/kwang26/aibm_hcp_normalized/163432_3T_T1w_MPR1.nii.gz
2268,1975,7067,2835,1869,10321,14472,10197,3465,10841,6908,7324,5161,10363,2181,3186,5792,1671,4151,2739,9444,2829,13630,10694,3010,16523,21654,15166,12245,12326,726,2030,1276,6818,2548,3282,4545,3314,1109,9661,17568,11544,2384,8922,7193,6474,5762,12306,1936,4088,4355,2723,4029,3194,11563,3609,14121,12054,2622,16784,21015,13374,11685,11627,986,1830,1144,6537,/data/users2/kwang26/aibm_hcp_normalized/115017_3T_T1w_MPR1.nii.gz
2737,1636,6567,2921,1412,9772,9925,9300,2015,11134,7637,6156,4861,9649,2083,2599,5258,1866,3984,2654,8794,3213,12238,9359,2046,13252,20985,11352,12042,11185,513,1926,1252,6232,2371,2003,4888,3073,1169,9084,14679,9531,2169,8617,6610,6584,5076,9493,1700,3129,3526,2607,4355,3248,8091,2854,12272,9803,1984,15172,17346,11264,11175,10465,772,2124,1234,6554,/data/users2/kwang26/aibm_hcp_normalized/953764_3T_T1w_MPR1.nii.gz
2755,2688,5948,3002,1432,12927,13095,9021,3561,9795,8540,7241,5845,11241,2230,3074,6995,2439,4818,2620,11469,3346,14101,10020,3148,16173,23138,14016,12734,12240,1100,2336,1792,9162,2714,2018,6923,3066,1169,8901,16997,11072,2341,9835,8886,7410,6494,13369,1930,4634,3926,3822,5155,2885,8681,2986,12839,11256,2201,21143,22961,14705,13002,13137,1194,1941,1187,7804,/data/users2/kwang26/aibm_hcp_normalized/182739_3T_T1w_MPR1.nii.gz
2555,2122,7529,3355,1876,12734,14173,12056,3000,13655,8586,7974,7062,10402,2823,4110,5913,2466,4459,2618,10734,3917,15117,11320,3096,17154,26841,15259,13368,13369,739,2539,1871,8103,2747,2221,5811,3349,1700,11105,18009,12260,2384,11729,9691,7893,6676,12971,2938,5735,5081,3786,5760,2971,9971,4151,16934,12320,1936,17399,25059,15523,12284,11840,794,2479,1177,8831,/data/users2/kwang26/aibm_hcp_normalized/205119_3T_T1w_MPR1.nii.gz
2944,2348,7836,3500,1599,10900,13863,12252,2716,13605,8488,6975,6696,12682,2624,4104,6533,2257,4146,3629,13458,3490,17538,12302,4752,18187,25052,13407,13672,11381,1070,1952,1625,7391,2572,3090,9869,3877,1314,10551,17867,11865,2985,14333,7981,8552,6742,14496,2531,4916,4620,2491,4318,4374,13279,4537,16094,12820,3036,21634,24741,13989,13092,9732,1148,2127,994,7837,/data/users2/kwang26/aibm_hcp_normalized/106521_3T_T1w_MPR1.nii.gz
2891,1024,6524,2872,1552,9568,8942,9696,1633,11638,6661,5697,5112,7931,1737,3698,3700,1830,3532,2609,8101,2353,12322,8402,2435,14342,20869,11947,10516,9067,810,2387,863,6380,2068,1907,5349,2743,1222,7446,15178,9198,1631,10615,6000,6856,5094,9321,1829,3897,3284,2107,3522,2414,7378,3007,12219,9234,1651,14348,19741,11435,10178,6916,1039,2066,676,6450,/data/users2/kwang26/aibm_hcp_normalized/137128_3T_T1w_MPR1.nii.gz
3084,1818,7275,3330,1823,11565,10589,9583,2581,12356,7930,7611,6411,9373,2080,3648,4879,1844,4294,3057,10699,3268,12756,8683,2909,14954,21040,11293,12864,11456,667,2906,1701,7317,2056,2795,5021,3181,1655,10061,15691,11426,2604,12951,8253,7509,5335,13247,2151,4310,4582,2686,4781,3296,8625,3459,14240,8557,2636,15979,19297,13006,10687,9107,1043,2336,1007,6745,/data/users2/kwang26/aibm_hcp_normalized/615744_3T_T1w_MPR1.nii.gz
2120,1340,5922,2676,1495,8260,10733,8340,2030,9281,5367,6242,4249,7917,1914,2893,3506,1351,2813,2679,7077,2490,11032,8150,2114,11464,18429,10307,9400,8490,636,2027,826,4924,1997,1494,5130,2734,1569,7720,12223,7824,2175,8145,5853,5863,4305,10172,1550,2751,2615,1933,3216,2884,6756,2395,11578,9026,1421,13296,18744,12004,8716,7636,878,1991,778,5088,/data/users2/kwang26/aibm_hcp_normalized/208428_3T_T1w_MPR1.nii.gz
3052,2906,7704,3979,1959,14073,17054,11466,4089,13200,9045,8505,5098,14140,2136,3960,5329,2273,4158,2912,10984,4272,15289,12619,3462,16980,24521,14938,12248,12465,575,2042,1173,7795,3093,1686,7406,4275,1889,12725,18123,11274,3370,15223,8382,8671,5605,14853,1993,4805,4169,2773,4287,3403,10404,3688,15332,12981,2286,20353,24755,18106,12221,12846,1070,1724,914,8647,/data/users2/kwang26/aibm_hcp_normalized/121416_3T_T1w_MPR1.nii.gz
